ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
864.0000000746437,63.74546317747675,0.3150431987961075,15.0,10.0,5.0,21.6
1080.0000000933044,63.74546317747675,0.1785822160901552,10.0,10.0,5.0,21.6
617.1428571961741,62.41696365538807,0.2372711815560453,15.0,20.0,5.0,13.3
617.1428571961741,62.41696365538807,0.2369607354165374,20.0,15.0,13.3,5.0
864.0000000746437,61.290789443588444,0.1425894100217019,15.0,10.0,21.6,5.0
864.0000000746437,61.290789443588444,0.1425134707616414,10.0,15.0,5.0,21.6
617.1428571961741,60.91123490329343,0.16271922118744,20.0,15.0,21.6,5.0
617.1428571961741,60.91123490329343,0.1629114785734967,15.0,20.0,5.0,21.6
720.0000000622031,60.910942039303286,0.1179484989743383,10.0,20.0,5.0,13.3
720.0000000622031,60.910942039303286,0.115080824762576,20.0,10.0,13.3,5.0
617.1428571961741,60.32483251736911,0.419402943596824,20.0,15.0,13.3,13.3
617.1428571961741,60.32483251736911,0.4195660178572759,15.0,20.0,13.3,13.3
617.1428571961741,59.65362419557008,0.5022856280027957,20.0,15.0,13.3,21.6
617.1428571961741,59.65362419557008,0.501878783920813,15.0,20.0,21.6,13.3
617.1428571961741,59.649399229716174,0.4005845001974513,15.0,20.0,21.6,21.6
617.1428571961741,59.649399229716174,0.4005191453835777,20.0,15.0,21.6,21.6
720.0000000622031,59.64757684007811,0.2031262330473874,20.0,10.0,13.3,21.6
720.0000000622031,59.6475768400781,0.2028284703090535,10.0,20.0,21.6,13.3
617.1428571961741,59.64040632405719,0.2594217028883143,15.0,20.0,13.3,21.6
617.1428571961741,59.64040632405719,0.2591927097320599,20.0,15.0,21.6,13.3
720.0000000622031,59.63925155718246,0.155657777651061,20.0,10.0,13.3,13.3
720.0000000622031,59.63925155718246,0.1552405041094738,10.0,20.0,13.3,13.3
864.0000000746437,59.52454852290966,0.2209448423250876,15.0,10.0,5.0,29.9
720.0000000622031,59.52454852290966,0.1910081097211043,15.0,15.0,5.0,29.9
